"ID","Metafield: mm-google-shopping.custom_label_0 [single_line_text_field]"
"1500359589940","zombie"
"4422255018036","winner"
"6945928775","winner"
"7640049516768","champion"
"8690531533024","winner"
"8859572404448","zombie"
"8860304638176","zombie"
"8864600424672","zombie"
"8873921413344","zombie"
"8874744185056","zombie"
"8878544060640","champion"
"8895157600480","zombie"
"8895234310368","zombie"
"8989935403232","zombie"
"8990058152160","zombie"
"8990078173408","zombie"
"9042319474912","zombie"
"9052307194080","zombie"
"9065174302944","zombie"
"9200221946080","zombie"
"9327738290400","zombie"
"9447735591136","zombie"
"9447748141280","winner"
"9447787954400","zombie"
"9449016099040","zombie"
"9629941039328","zombie"
"9629941825760","zombie"
"9629950640352","zombie"
"9629955883232","zombie"
