"ID","Variant ID","Variant Metafield: mm-google-shopping.custom_label_0 [single_line_text_field]"
"1500359589940","43331719168224","zombie"
"1500359589940","43331719626976","zombie"
"1500359589940","43331719692512","zombie"
"4422255018036","45773516964064","winner"
"6945928775","43540649181408","winner"
"6945928775","43540649214176","winner"
"6945928775","43540649246944","winner"
"6945928775","43540649312480","winner"
"6945928775","43540649378016","winner"
"6945928775","45743544533216","winner"
"6945928775","45743544631520","winner"
"7640049516768","42721805369568","champion"
"7640049516768","42721805467872","champion"
"7640049516768","43562103832800","champion"
"7640049516768","44170635280608","champion"
"7640049516768","44170635313376","champion"
"7640049516768","44170635346144","champion"
"7640049516768","44170635378912","champion"
"7640049516768","44170635411680","champion"
"7640049516768","44170635444448","champion"
"7640049516768","44170635641056","champion"
"7640049516768","44170635673824","champion"
"7640049516768","44170635706592","champion"
"7640049516768","44170635772128","champion"
"7640049516768","44170635837664","champion"
"7640049516768","44170635870432","champion"
"7640049516768","44170635903200","champion"
"7640049516768","44170635935968","champion"
"7640049516768","44170635968736","champion"
"7640049516768","44170636034272","champion"
"7640049516768","44170636067040","champion"
"7640049516768","44170636099808","champion"
"7640049516768","44170636132576","champion"
"7640049516768","44170636165344","champion"
"7640049516768","44170636230880","champion"
"7640049516768","44170636263648","champion"
"7640049516768","44170636296416","champion"
"7640049516768","44170636329184","champion"
"7640049516768","44170636361952","champion"
"7640049516768","47296346521824","champion"
"7640049516768","47296346554592","champion"
"7640049516768","47296346587360","champion"
"7640049516768","47296346620128","champion"
"7640049516768","47296346652896","champion"
"7640049516768","47296346685664","champion"
"8690531533024","46311444381920","winner"
"8859572404448","47198502224096","zombie"
"8860304638176","47201545847008","zombie"
"8864600424672","47229483155680","zombie"
"8873921413344","47293216981216","zombie"
"8874744185056","47295468175584","zombie"
"8878544060640","47331022504160","champion"
"8895157600480","47437302169824","zombie"
"8895234310368","47437760594144","zombie"
"8989935403232","47785510535392","zombie"
"8990058152160","47785891725536","zombie"
"8990078173408","47785937076448","zombie"
"9042319474912","48042136109280","zombie"
"9052307194080","48067146350816","zombie"
"9065174302944","48118987718880","zombie"
"9200221946080","48771039166688","zombie"
"9327738290400","49386992632032","zombie"
"9447735591136","50120694694112","zombie"
"9447748141280","50120716320992","winner"
"9447787954400","50120968700128","zombie"
"9449016099040","50124867797216","zombie"
"9629941039328","51212078252256","zombie"
"9629941039328","51212078285024","zombie"
"9629941039328","51212078317792","zombie"
"9629941039328","51212078350560","zombie"
"9629941039328","51212078383328","zombie"
"9629941039328","51212078416096","zombie"
"9629941039328","51212078448864","zombie"
"9629941039328","51212078481632","zombie"
"9629941825760","51212080644320","zombie"
"9629941825760","51212080677088","zombie"
"9629941825760","51212080709856","zombie"
"9629941825760","51212080742624","zombie"
"9629941825760","51212080775392","zombie"
"9629941825760","51212080808160","zombie"
"9629941825760","51212080840928","zombie"
"9629941825760","51212080873696","zombie"
"9629941825760","51212080906464","zombie"
"9629941825760","51212080939232","zombie"
"9629941825760","51212080972000","zombie"
"9629941825760","51212081004768","zombie"
"9629941825760","51212081037536","zombie"
"9629941825760","51212081070304","zombie"
"9629941825760","51212081103072","zombie"
"9629941825760","51212081135840","zombie"
"9629941825760","51212081168608","zombie"
"9629941825760","51212081201376","zombie"
"9629941825760","51212081234144","zombie"
"9629941825760","51212081266912","zombie"
"9629950640352","51212114919648","zombie"
"9629950640352","51212114952416","zombie"
"9629950640352","51212114985184","zombie"
"9629950640352","51212115017952","zombie"
"9629950640352","51212115050720","zombie"
"9629950640352","51212115083488","zombie"
"9629950640352","51212115116256","zombie"
"9629950640352","51212115149024","zombie"
"9629950640352","51212115181792","zombie"
"9629950640352","51212115214560","zombie"
"9629950640352","51212115247328","zombie"
"9629950640352","51212115280096","zombie"
"9629955883232","51212124487904","zombie"
